11,Matthew Adams,23,GK,7,1
12,Christopher Moore,34,CB,40,1
13,Christian Villarreal,26,LB,44,1
14,Andre Buck,19,RB,16,1
15,Joseph Perez,19,CDM,48,1
16,James Delgado,23,CM,21,1
17,Logan Douglas,24,CAM,25,1
18,Charles Jones,22,LM,88,1
19,Nathaniel Frank,34,RM,21,1
110,Sean Robinson,27,LW,12,1
111,Patrick Mckinney,19,RW,77,1
112,Jason Lopez,30,ST,22,1
113,Steven Hill,35,CM,82,1
114,Stephen Russell,27,LM,79,1
115,George Johnson,26,ST,31,1
21,Aaron Evans DVM,33,GK,49,2
22,Brian Terry DDS,34,CB,78,2
23,Bradley Walker,24,LB,72,2
24,John Green,24,RB,17,2
25,William Petty,35,CDM,74,2
26,Rodney Farley,29,CM,55,2
27,Timothy Stevens,34,CAM,70,2
28,Francisco Bennett,21,LM,19,2
29,Todd Lloyd,20,RM,35,2
210,Ricky Martinez,35,LW,62,2
211,Steven Walker,25,RW,46,2
212,Jake Hamilton,29,ST,48,2
213,Jack Elliott,19,RM,20,2
214,Steven Alvarado,32,RW,65,2
215,Marc Jackson,20,CB,71,2
31,Jason Fisher,22,GK,98,3
32,Christian Reed,33,CB,43,3
33,Paul Martinez,22,LB,3,3
34,Steven Gonzalez,23,RB,54,3
35,Jacob Reid,29,CDM,45,3
36,David Mahoney,33,CM,28,3
37,Mr. Barry Sparks,25,CAM,36,3
38,Dylan Dodson,31,LM,3,3
39,Jeffery Dominguez,29,RM,9,3
310,Andrew Reyes,22,LW,6,3
311,Corey Davis,20,RW,34,3
312,Preston Miller,18,ST,34,3
313,Christopher Conway,28,LM,56,3
314,Bryan Andrews PhD,27,GK,41,3
315,Benjamin Ryan,23,CM,58,3
41,William Brown,22,GK,22,4
42,Benjamin Hernandez,34,CB,26,4
43,David Hoffman,21,LB,50,4
44,David Bailey,20,RB,33,4
45,Scott Cameron,29,CDM,2,4
46,Edward Hanson,24,CM,63,4
47,Gregory Perry,24,CAM,92,4
48,Joshua Clark,31,LM,23,4
49,Stephen Bass,34,RM,11,4
410,Sean Peck,23,LW,71,4
411,David Middleton,28,RW,23,4
412,Jonathan Ball,29,ST,12,4
413,Daniel Haynes,18,LW,23,4
414,Fred Snyder,19,RM,68,4
415,Jason Lee,28,LM,22,4
51,Christopher Zamora,34,GK,19,5
52,Clayton Walter,30,CB,19,5
53,Christopher Bright,25,LB,46,5
54,Robert Cardenas,21,RB,78,5
55,Jacob Baker,34,CDM,31,5
56,Richard Gallagher,35,CM,54,5
57,Kevin Haynes,18,CAM,33,5
58,Michael Williams,32,LM,92,5
59,James Garcia,21,RM,70,5
510,Gregory Mitchell,23,LW,52,5
511,Jason Martinez,20,RW,48,5
512,Willie Harrison MD,28,ST,71,5
513,Charles Porter,23,LM,64,5
514,Mr. Carl Berger,33,CAM,82,5
515,Bradley Edwards,27,GK,84,5
61,Michael Kim,29,GK,33,6
62,Christopher Day,18,CB,86,6
63,William Tucker,27,LB,91,6
64,Nicholas Wiley,30,RB,87,6
65,Benjamin Vance,19,CDM,1,6
66,Karl Hill,32,CM,95,6
67,Gabriel Murphy,28,CAM,88,6
68,Craig Lane,18,LM,51,6
69,Ronald Nelson,21,RM,21,6
610,Kevin Santana,22,LW,88,6
611,Todd Smith,33,RW,88,6
612,James Owens,19,ST,65,6
613,Peter Nunez,21,ST,80,6
614,Eric Wilkinson,20,GK,2,6
615,Michael Webster,28,LW,86,6
71,Edward Hughes,28,GK,27,7
72,Alexander Hernandez,22,CB,63,7
73,Adam Rodriguez,30,LB,79,7
74,Brian Castillo,19,RB,70,7
75,Tyler Kelley PhD,28,CDM,12,7
76,Darrell Kelly,25,CM,53,7
77,Joseph Merritt,33,CAM,43,7
78,Jerry Shaw,18,LM,97,7
79,Rodney Elliott,26,RM,77,7
710,Aaron Lee,20,LW,93,7
711,Colin Henry,20,RW,75,7
712,Danny Velasquez,22,ST,3,7
713,David Smith,26,GK,24,7
714,Michael Howard,31,RM,10,7
715,Ryan Edwards,33,CDM,37,7
81,Mark Frye,23,GK,29,8
82,William Norman,35,CB,25,8
83,William Nichols,23,LB,18,8
84,Andrew Lloyd,20,RB,62,8
85,Eric Scott,25,CDM,65,8
86,Troy Blair,26,CM,98,8
87,John Jensen,35,CAM,17,8
88,Christopher Maynard,27,LM,66,8
89,Dustin Rodriguez,19,RM,38,8
810,Brian Roberts,24,LW,96,8
811,Joe Adams,24,RW,50,8
812,James Smith,26,ST,30,8
813,Adam Brady,33,RW,4,8
814,Bradley Sheppard,25,CB,50,8
815,Daryl Cobb,31,LB,63,8
91,Robert Doyle,26,GK,24,9
92,David Ward,19,CB,45,9
93,Jason Brown,35,LB,66,9
94,Vincent Guerrero,33,RB,10,9
95,Timothy Harvey,24,CDM,25,9
96,James Lang,30,CM,3,9
97,Jonathan David,26,CAM,80,9
98,Mr. Kevin Mcneil,18,LM,92,9
99,Brett Taylor,27,RM,41,9
910,Kevin Jenkins,23,LW,72,9
911,Joseph Goodwin,22,RW,96,9
912,Christopher Cook,33,ST,48,9
913,Joshua Madden,31,LB,37,9
914,Juan Miller,19,GK,43,9
915,Anthony Shaw,32,LB,36,9
101,Paul Williams,29,GK,39,10
102,Michael Butler,21,CB,76,10
103,Mr. Chad Avila,28,LB,67,10
104,James Howell,35,RB,97,10
105,Michael Garcia,30,CDM,51,10
106,Eric Fitzpatrick,21,CM,75,10
107,Michael Wong,34,CAM,31,10
108,Marcus Francis,32,LM,28,10
109,Christopher Perez,30,RM,38,10
1010,Marc Bates,30,LW,5,10
1011,Darryl Clark,31,RW,12,10
1012,Joseph Williamson,29,ST,51,10
1013,Cory Johnson,18,ST,71,10
1014,Mr. Bryce Anderson,33,RB,42,10
1015,Jim Love,25,CB,15,10
111,Matthew Bowman,27,GK,33,11
112,Richard Sanchez,24,CB,31,11
113,Andrew Martin,26,LB,62,11
114,Carl Smith,31,RB,36,11
115,Phillip Willis,31,CDM,27,11
116,David Banks,25,CM,22,11
117,Christopher Ellison,30,CAM,43,11
118,Richard Robinson,23,LM,59,11
119,Justin Weiss,35,RM,85,11
1110,Ian Cook,24,LW,73,11
1111,Omar Burgess,34,RW,69,11
1112,Douglas Garcia,31,ST,85,11
1113,Jacob Chen,23,RB,26,11
1114,Roberto Guerrero,32,LW,44,11
1115,Isaac Meyer,19,ST,64,11
121,Jonathan Terry,31,GK,97,12
122,Billy Moreno,35,CB,79,12
123,Kristopher Espinoza,26,LB,76,12
124,Christopher Sims,23,RB,19,12
125,Mr. John Love MD,21,CDM,67,12
126,Mr. Christian Garner,32,CM,61,12
127,Jacob Hernandez,29,CAM,79,12
128,Kevin Mercado,35,LM,50,12
129,Tyler Gonzalez,20,RM,96,12
1210,Mark Lee,26,LW,31,12
1211,Michael Myers,29,RW,34,12
1212,Nicholas Mccarty,33,ST,46,12
1213,Andrew Harrington,22,LM,36,12
1214,Jason Taylor,30,GK,60,12
1215,Bobby Johnson,20,CB,95,12
131,Brandon Brown,27,GK,82,13
132,Harry Myers,26,CB,55,13
133,Collin Pearson,25,LB,42,13
134,Dylan Phillips,32,RB,85,13
135,Hector Holt,18,CDM,10,13
136,Derek Cooper,27,CM,76,13
137,Louis Baker,25,CAM,30,13
138,Aaron Crawford,35,LM,28,13
139,Joshua Hunt,26,RM,53,13
1310,Andre Edwards,22,LW,64,13
1311,Garrett French,24,RW,1,13
1312,Keith Wu,28,ST,33,13
1313,Brian Johnson,29,RW,48,13
1314,Michael Diaz,21,RB,13,13
1315,Jason Miller,35,LB,58,13
141,Robert Krueger,18,GK,92,14
142,Corey Smith,29,CB,97,14
143,Eric Singh,19,LB,95,14
