1,Andrew Russell,73396.99,Referee,1
2,Karen Daniels,82648.63,Referee,1
3,Richard Ramirez,77931.8,Referee,1
4,Monica Kim,60510.33,Announcer,1
5,Haley Krueger,66231.3,Announcer,1
6,Dr. Victoria Perry,166532.25,Doctor,1
7,Dr. Michael Gonzalez,197206.98,Doctor,1
8,Dr. Cheryl Chen,203037.48,Doctor,1
9,Dr. Jose Bennett,104840.87,Doctor,1
10,Dr. Cindy Potter,291090.33,Doctor,1
11,Kimberly Sellers,53396.05,Security,1
12,Danielle Whitehead,61693.42,Security,1
13,Andrew Stewart,50328.0,Security,1
14,Thomas Bernard,61197.62,Security,1
15,Joel Cummings,43762.21,Security,1
16,Michelle Holt,40885.45,Security,1
17,Mark Wyatt,63855.19,Security,1
18,Juan Murphy,61921.26,Security,1
19,Jessica Lewis,47534.75,Security,1
20,Juan Coffey,45523.14,Security,1
21,Melissa Washington,40996.18,Security,1
22,Cody Carter,45252.04,Security,1
23,Elijah Pena,61915.35,Security,1
24,Amy Tanner,44560.57,Security,1
25,Daniel Brown,51359.89,Security,1
26,Jessica Guzman,47320.99,Security,1
27,Michele Johnson,58089.01,Security,1
28,Dana Dixon,66687.64,Security,1
29,Philip Wiley,50459.35,Security,1
30,Pamela Garcia,48571.98,Security,1
31,Sharon Cooke,46021.86,Security,1
32,Eugene Turner,50569.21,Security,1
33,Thomas Smith,43685.75,Security,1
34,Taylor Schmidt,56521.83,Security,1
35,Kelly Jones,43840.82,Security,1
36,Breanna Howard,50823.82,Security,1
37,Heather Taylor,63810.4,Security,1
38,Steven Hall,60219.37,Security,1
39,Morgan Ho,47726.87,Security,1
40,Anthony Johnson,59807.26,Security,1
41,Richard Garcia,59723.82,Security,1
42,Taylor Raymond,49432.89,Security,1
43,Robert Harris,42615.33,Security,1
44,Paul Vasquez,54484.71,Security,1
45,Deanna Perez,55605.08,Security,1
46,Elizabeth Martin,40923.08,Security,1
47,Connie Jones,68914.32,Security,1
48,Michaela Campbell,53289.96,Security,1
49,Michael Taylor,44045.61,Security,1
50,Tabitha Davidson,55055.27,Security,1
51,David Hill,35274.13,Concessions,1
52,Joyce Lopez,44794.66,Concessions,1
53,Timothy Moore,37315.67,Concessions,1
54,Tamara Fox,40514.64,Concessions,1
55,James Contreras,34007.99,Concessions,1
56,Jenna Peterson,48410.43,Concessions,1
57,Bryan Robinson,42705.46,Concessions,1
58,Theresa Fowler,44856.45,Concessions,1
59,Linda Greene,41025.72,Concessions,1
60,Tiffany Jones,33788.38,Concessions,1
61,Theodore Simmons,45591.9,Concessions,1
62,Diane Weiss,33180.94,Concessions,1
63,Brian Thompson,41447.94,Concessions,1
64,Alexander Black,33748.44,Concessions,1
65,Justin Wells,44142.52,Concessions,1
66,Gina Elliott,31515.46,Concessions,1
67,Mr. Kevin Warren,30479.35,Concessions,1
68,Katelyn Jones,35412.56,Concessions,1
69,Jordan Carney,36029.43,Concessions,1
70,Sherry Pope,40587.84,Concessions,1
71,John Jacobs,45876.71,Concessions,1
72,Stephanie Hanson,48679.85,Concessions,1
73,John Johnson,36302.47,Concessions,1
74,Billy Deleon,37871.82,Concessions,1
75,Jasmine Kirk,33080.2,Concessions,1
76,Christopher Smith,30565.58,Concessions,1
77,Andrew Powers,31556.82,Concessions,1
78,Terry Mccall,35779.92,Concessions,1
79,Craig White,42468.81,Concessions,1
80,Tracy Wood,30290.1,Concessions,1
81,Danielle Raymond,48679.74,Concessions,1
82,Felicia King,39077.84,Concessions,1
83,John Cole,41262.59,Concessions,1
84,Steven Tran,48851.11,Concessions,1
85,Daniel Mcdonald,49971.87,Concessions,1
86,Erin Austin,41049.56,Concessions,1
87,Robert Osborne,44677.75,Concessions,1
88,Brittany Thomas,44100.48,Concessions,1
89,Johnny Brown,34336.87,Concessions,1
90,Daniel Paul,49761.36,Concessions,1
91,Brittany Fowler,46574.91,Concessions,1
92,Amber Morales,31231.12,Concessions,1
93,Claudia Hamilton,43969.41,Concessions,1
94,Nicole Bryant,34432.02,Concessions,1
95,Allison Gaines,35822.89,Concessions,1
96,William Patel,43395.38,Concessions,1
97,Gregory Brennan,46996.31,Concessions,1
98,Chelsea Fowler,39440.26,Concessions,1
99,Carolyn Cunningham,42988.41,Concessions,1
100,Ruth Johnson,30640.29,Concessions,1
101,Sean Williams,43934.5,Concessions,1
102,Danielle Baker,41851.52,Concessions,1
103,Rhonda Francis,45099.79,Concessions,1
104,Seth Knapp,41181.15,Concessions,1
105,Jeremy Wilson,49116.84,Concessions,1
106,Fred Ramirez,37369.53,Concessions,1
107,Amanda Buchanan,47161.35,Concessions,1
108,Michael Harris,39400.32,Concessions,1
109,Susan Brown,35865.32,Concessions,1
110,Christina Wyatt,30323.81,Concessions,1
111,Megan Clark,32533.82,Concessions,1
112,Justin Martin,44450.88,Concessions,1
113,Edward Erickson,37712.92,Concessions,1
114,Lisa Alvarado,36516.27,Concessions,1
115,Rachel Clark,45019.62,Concessions,1
116,Sandra Gonzalez,40582.29,Concessions,1
117,Bryan Rose,43725.36,Concessions,1
118,Nancy Moore,31035.54,Concessions,1
119,Brenda Arias,44387.71,Concessions,1
120,Cynthia Jones,32840.77,Concessions,1
121,Jimmy Andrews,34547.29,Concessions,1
122,Erica Thompson,40929.81,Concessions,1
123,Noah Morton,49233.5,Concessions,1
124,Bonnie Simmons,44320.28,Concessions,1
125,James Gentry,43644.12,Concessions,1
126,Christopher Banks,42812.92,Concessions,1
127,Robert Smith,32180.88,Concessions,1
128,Martin Thomas,45681.9,Concessions,1
129,James Wheeler,36332.65,Concessions,1
130,Anthony Meadows,30138.59,Concessions,1
131,Tina Galloway,42986.73,Concessions,1
132,Wendy Lowery,46338.3,Concessions,1
133,Patrick Fernandez,48620.96,Concessions,1
134,Nicole Thompson,41008.49,Concessions,1
135,David Nolan,37121.19,Concessions,1
136,Michael James,36343.95,Concessions,1
137,Lee Moss,37825.62,Concessions,1
138,Laura Harvey,49055.34,Concessions,1
139,Tammy Miller,43227.98,Concessions,1
140,Mark Valdez,45306.42,Concessions,1
141,Victor Ruiz,43152.67,Concessions,1
142,Jeremy Burgess,42778.2,Concessions,1
143,Judy Davis,44278.27,Concessions,1
144,Melissa Thompson,30351.08,Concessions,1
145,Melissa Olson,49393.09,Concessions,1
146,Gwendolyn Mitchell,35924.07,Concessions,1
147,Bryan Lucas,45459.21,Concessions,1
148,Wayne Kennedy,41307.86,Concessions,1
149,Leonard Harris,42066.23,Concessions,1
150,Mr. Randy Morrison,49785.63,Concessions,1
151,Derek Thomas,84309.16,Technical,1
152,David Roberts,84311.25,Technical,1
153,Laura Gibson,89806.87,Technical,1
154,Leslie Williams,82734.17,Technical,1
155,Scott Rogers,81788.08,Technical,1
156,Troy Mcclain,85748.74,Technical,1
157,Gina Underwood,85480.62,Technical,1
158,Jeffrey Deleon,80695.58,Technical,1
159,Dana Simon,92757.32,Technical,1
160,Mrs. Roberta Bautista DVM,90981.92,Technical,1
161,Brianna Graves,53259.88,Groundskeeping,1
162,Patricia Stout,42461.83,Groundskeeping,1
163,John Young,57602.4,Groundskeeping,1
164,Natasha Gregory,40061.81,Groundskeeping,1
165,Bobby Ellison,57682.12,Groundskeeping,1
166,Susan Taylor,50611.58,Groundskeeping,1
167,Vincent Brooks,40690.04,Groundskeeping,1
168,John Shaw,49733.44,Groundskeeping,1
169,Courtney Burch,40127.06,Groundskeeping,1
170,Frank Duncan,59050.65,Groundskeeping,1
171,Gregory Barton,52538.0,Groundskeeping,1
172,Sarah Delgado,47309.65,Groundskeeping,1
173,John Arnold,52211.83,Groundskeeping,1
174,Nathan Gilbert,55008.34,Groundskeeping,1
175,Tammy Edwards,49921.83,Groundskeeping,1
176,Katelyn Thompson,69803.11,Administration,1
177,Ruben Valdez,83215.32,Administration,1
178,Angela Macdonald,68309.29,Administration,1
179,Gabriel Elliott,83771.88,Administration,1
180,Mary Love,83069.0,Administration,1
181,Laura Walters,93762.09,Referee,2
182,Danielle Wilson,78820.21,Referee,2
183,Amy Norton,79234.53,Referee,2
184,Courtney Hughes,57506.11,Announcer,2
185,Daniel Riley,58074.27,Announcer,2
186,Dr. Brandon Wagner,104204.57,Doctor,2
187,Dr. Zachary Brown,124138.04,Doctor,2
188,Dr. Kenneth Estrada,111545.18,Doctor,2
189,Dr. Catherine Clayton,202578.85,Doctor,2
190,Dr. Travis Foster,129724.83,Doctor,2
191,Nicholas Page,60132.68,Security,2
192,Carrie Miller,66162.27,Security,2
193,Megan Ramsey,51335.05,Security,2
194,Jessica Foster,43148.28,Security,2
195,Henry Martin,55654.26,Security,2
196,Zachary Sims,69348.13,Security,2
197,Leroy Evans,65502.69,Security,2
198,Colleen Wilson,57339.94,Security,2
199,Bethany Meadows,46114.26,Security,2
